gene_name,log2FoldChange,pvalue,log pvalue
SAUSA300_RS12935,-1.659400441,8.35E-14,13.07849281
-,-1.659026606,9.19E-06,5.036484968
nrdI,-1.658844884,1.04E-23,22.98304586
-,-1.657443894,7.56E-06,5.121267939
purF,-1.65736655,1.13E-22,21.94635973
icaB,-1.65643355,0.03056441,1.514783988
-,-1.654744401,1.36E-06,5.867883395
SAUSA300_RS02855,-1.65339488,1.12E-20,19.94910967
purL,-1.648984747,1.45E-30,29.83742566
SAUSA300_RS02555,-1.648852706,0.000262413,3.581014449
srrB,-1.647343386,9.81E-28,27.00853002
cysK,-1.644875445,2.60E-42,41.58468758
rplX,-1.641581962,8.03E-21,20.0955411
SAUSA300_RS11210,-1.623087004,1.32E-35,34.88014816
essA,-1.621805176,1.51E-08,7.820693334
cap8D,-1.621690314,9.06E-17,16.04289819
SAUSA300_RS01565,-1.620807599,0.008144664,2.089126852
SAUSA300_RS12650,-1.620164821,6.94E-21,20.15843415
norB,-1.618131301,1.30E-14,13.88673797
-,-1.617151273,0.038521717,1.414294367
SAUSA300_RS00905,-1.614048524,1.56E-12,11.80553391
SAUSA300_RS14015,-1.610296182,3.97E-27,26.40132276
SAUSA300_RS12890,-1.607211855,3.14E-14,13.50240049
rpsS,-1.594033076,6.79E-18,17.16813238
SAUSA300_RS03640,-1.586784787,2.78E-07,6.556697259
SAUSA300_RS12955,-1.583717121,2.48E-10,9.605067038
graF,-1.581926076,0.000177805,3.750055238
treC,-1.581149763,7.17E-16,15.14420806
SAUSA300_RS01850,-1.579332136,3.98E-06,5.400016923
-,-1.576952872,4.93E-06,5.306889869
SAUSA300_RS05765,-1.575951576,2.81E-11,10.55110697
SAUSA300_RS04805,-1.575655141,1.44E-10,9.842608988
rpmD,-1.573128353,1.11E-18,17.95521312
SAUSA300_RS03120,-1.571097503,0.000442791,3.353801279
-,-1.569652959,0.000240295,3.619255525
comGB,-1.566992567,0.000906461,3.042651039
rpsE,-1.564751411,1.21E-16,15.91870172
SAUSA300_RS05140,-1.564244164,9.97E-09,8.001247616
SAUSA300_RS13385,-1.559958186,6.02E-21,20.22075717
rplR,-1.558856523,7.06E-15,14.15109082
rplF,-1.557353786,6.75E-19,18.17087659
SAUSA300_RS01475,-1.556746247,0.000309548,3.509271728
rpsC,-1.556250068,1.23E-35,34.91154524
purM,-1.55534589,9.70E-21,20.01339852
trmFO,-1.550665275,4.18E-28,27.37912034
hisH,-1.549566279,0.039508988,1.403304093
lpl10,-1.548649137,2.66E-28,27.57563999
rplB,-1.546617825,3.30E-24,23.4811268
SAUSA300_RS12640,-1.544978289,2.60E-12,11.58559077
SAUSA300_RS05460,-1.538658891,2.55E-49,48.59345993
SAUSA300_RS09985,-1.535247762,2.96E-09,8.528568613
SAUSA300_RS04750,-1.533672526,0.00098411,3.006956179
topA,-1.53200635,3.37E-43,42.47289071
SAUSA300_RS15465,-1.531781649,0.001081307,2.966050806
SAUSA300_RS11300,-1.531303457,8.80E-08,7.055760511
SAUSA300_RS16030,-1.531002009,0.000729589,3.136921895
rplC,-1.53096858,1.39E-25,24.85740068
SAUSA300_RS13990,-1.529088078,0.005194597,2.284448131
rplT,-1.52474939,2.87E-07,6.541532911
trpS,-1.520485197,5.54E-12,11.25669429
-,-1.5199122,0.000426603,3.36997645
SAUSA300_RS02320,-1.519334553,8.39E-05,4.076435565
rpsF,-1.518737242,2.15E-37,36.66707385
SAUSA300_RS03645,-1.51780695,3.01E-09,8.521859682
SAUSA300_RS04955,-1.506845128,1.08E-26,25.96722017
SAUSA300_RS07190,-1.506138468,4.53E-24,23.3437008
SAUSA300_RS03590,-1.504771993,3.27E-25,24.48523768
SAUSA300_RS11540,-1.504423494,1.80E-12,11.74555514
rpsJ,-1.500669704,1.94E-19,18.71276867
SAUSA300_RS09020,-1.497320289,3.43E-22,21.46477996
SAUSA300_RS10985,-1.496654308,1.60E-06,5.796002428
SAUSA300_RS01570,-1.492566099,0.001799314,2.744893074
SAUSA300_RS04200,-1.490684373,3.10E-12,11.50894264
-,-1.488140643,0.000448766,3.347979831
rplP,-1.486899195,1.23E-28,27.91152346
SAUSA300_RS09955,-1.486721508,0.023279067,1.633034431
SAUSA300_RS01430,-1.48511287,0.001295459,2.887576429
lukS-PV,-1.484995977,6.45E-08,7.190473103
SAUSA300_RS00530,-1.484772126,0.026137643,1.582733583
aspS,-1.48330586,1.28E-26,25.89330679
lukE,-1.478486133,0.032424432,1.489127627
SAUSA300_RS00395,-1.477769465,4.94E-10,9.305901877
SAUSA300_RS04075,-1.477718675,2.57E-43,42.58986707
SAUSA300_RS13890,-1.477322776,1.31E-27,26.88401538
SAUSA300_RS11005,-1.474719758,1.81E-07,6.743337188
hisS,-1.45869614,4.77E-20,19.32193469
SAUSA300_RS11200,-1.456519018,3.24E-29,28.48943572
bstA,-1.453491941,6.84E-23,22.16485741
rplN,-1.44881482,2.05E-19,18.68720309
SAUSA300_RS05310,-1.44178106,1.18E-13,12.92804825
SAUSA300_RS05380,-1.439974129,1.19E-07,6.926030343
SAUSA300_RS08855,-1.439955534,1.18E-13,12.9296225
SAUSA300_RS03895,-1.438317391,0.018056333,1.743370445
SAUSA300_RS10325,-1.437038615,2.76E-15,14.55861368
SAUSA300_RS06990,-1.436661868,5.58E-17,16.25328588
SAUSA300_RS14655,-1.435062892,1.13E-37,36.94599115
spn,-1.433785091,9.60E-16,15.01772102
opp4A,-1.433533699,0.001451261,2.838254484
SAUSA300_RS03550,-1.429587186,7.14E-08,7.146124492
SAUSA300_RS09975,-1.428039858,3.09E-05,4.510744464
SAUSA300_RS00060,-1.426126887,8.07E-07,6.092945756
narJ,-1.424057141,0.000335028,3.47491914
-,-1.422793688,0.012007432,1.920549857
secDF,-1.422182227,1.07E-14,13.97053842
SAUSA300_RS08615,-1.416754443,0.001059937,2.974720054
lukF-PV,-1.415694076,4.65E-09,8.332797563
SAUSA300_RS09835,-1.414593592,2.61E-11,10.5838981
SAUSA300_RS08810,-1.409100329,1.75E-06,5.757837027
rpmC,-1.406041363,2.15E-18,17.66797479
pheS,-1.405726029,2.38E-13,12.62314374
SAUSA300_RS00055,-1.403311985,3.69E-05,4.433378992
SAUSA300_RS12865,-1.401238085,0.001753226,2.756162156
SAUSA300_RS07430,-1.401106606,7.58E-05,4.120357982
pcrA,-1.397688054,1.07E-28,27.97152029
SAUSA300_RS09900,-1.397505989,8.89E-15,14.05110425
SAUSA300_RS08535,-1.39710317,1.13E-12,11.94692559
splD,-1.391562066,2.23E-08,7.651112232
-,-1.389833963,1.16E-08,7.933968191
SAUSA300_RS15950,-1.387868566,1.19E-21,20.92264837
SAUSA300_RS12645,-1.386096089,5.71E-06,5.243700018
SAUSA300_RS06430,-1.377661683,3.04E-14,13.51668207
SAUSA300_RS09990,-1.377441031,0.000352896,3.452352913
SAUSA300_RS03105,-1.377203303,1.97E-06,5.706055829
gntK,-1.375821683,6.52E-10,9.185792751
SAUSA300_RS01990,-1.37304618,1.90E-07,6.721465792
SAUSA300_RS06985,-1.370628945,1.05E-25,24.9781711
SAUSA300_RS11455,-1.369217919,6.56E-16,15.18320897
mutS,-1.367931778,1.30E-18,17.88536573
yhaM,-1.364780749,2.48E-11,10.60596662
SAUSA300_RS11530,-1.357568926,2.61E-21,20.58282233
SAUSA300_RS11545,-1.35372709,2.02E-09,8.694482112
SAUSA300_RS04235,-1.353544707,0.000378863,3.421517772
-,-1.351695049,0.000216793,3.663955722
SAUSA300_RS12975,-1.347920219,8.59E-05,4.065788371
SAUSA300_RS06600,-1.344909013,0.017673017,1.752689299
SAUSA300_RS00960,-1.338986257,1.94E-20,19.71284986
SAUSA300_RS09875,-1.337755699,1.84E-43,42.73495207
SAUSA300_RS14665,-1.337017753,0.002303083,2.637690362
SAUSA300_RS04160,-1.334101252,1.25E-07,6.903579919
SAUSA300_RS02090,-1.3307278,0.022379503,1.650149571
clfB,-1.328908344,5.27E-21,20.27787745
betA,-1.328287556,3.30E-06,5.48159328
clpL,-1.327803257,1.49E-09,8.825796755
SAUSA300_RS13910,-1.327393648,9.36E-08,7.028530849
